연번,자치구,도서관명,개방시간,종료시간,주말 이용시간,도로명주소,경도,위도,휴관일
1,강남구,강남구립못골도서관,09:00,22:00,09:00~22:00,서울특별시 강남구 자곡로 116,127.0965824,37.47153792,매주 화요일 및 법정공휴일
2,강남구,강남역삼푸른솔도서관,09:00,18:00,09:00~17:00,서울특별시 강남구 테헤란로8길 36. 4층,127.0320288,37.49649918,매주 화요일 및 법정 공휴일
3,강남구,논현도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,127.0372042,37.51728313,매주 화요일 및 법정공휴일
4,강남구,대치도서관,09:00,21:00,09:00~17:00 ,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,127.0659154,37.49961577,매주 화요일 및 법정공휴일
5,강남구,도곡정보문화도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 도곡로18길 57,127.0388804,37.4883103,매주 월요일 및 법정공휴일
6,강남구,못골한옥어린이도서관,09:00,18:00,09:00~17:00,서울특별시 강남구 자곡로7길 3?,127.0997279,37.47330615,매주 월요일 및 법정공휴일
7,강남구,역삼도서관,09:00,22:00,09:00~17:00,"서울특별시 강남구 역삼로7길 16, 5층",127.0332838,37.49537321,매주 월요일 및 법정 공휴일
8,강남구,정다운도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 학동로67길 11 3층,127.0464409,37.51909871,매주 화요일 및 법정공휴일
9,강남구,즐거운도서관,09:00,22:00,09:00~17:00 ,서울특별시 강남구 도곡로77길 23 4층,127.0578495,37.49972974,매주 월요일 및 법정공휴일
10,강남구,청담도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,127.0492911,37.52509211,매주 월요일 및 법정공휴일
11,강남구,행복한도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),127.0641877,37.50230433,매주 화요일 및 법정공휴일
12,강남구,열린도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,127.0844597,37.4840224,매주 월요일 및 법정공휴일
13,강남구,일원라온영어도서관,09:00,18:00,09:00~17:00,서울특별시 강남구 영동대로 22 B1(일원동 743),127.074164,37.49109411,매주 월요일 및 법정공휴일
14,강남구,개포하늘꿈도서관,09:00,22:00,09:00~17:00,서울특별시 강남구 개포로 110길 54,127.0803569,37.49066929,매주 화요일 및 법정공휴일
