시설번호,년도,쉼터명칭,도로명주소,지번상세주소,이용가능인원,운영시작일,운영종료일,경도,위도,X좌표,Y좌표
1156000226,2024,구립늘푸른경로당,서울특별시 영등포구 신풍로25길 15-22 ,,40,20240520,20240930,126.918899,37.501374,192828.6946,544659.6873
1156000218,2024,신길6동 작은도서관,서울특별시 영등포구 대방천로 167,,40,20240520,20240930,126.909876,37.499337,192030.7005,544434.3656
1156000163,2024,신길6동 주민센터,서울특별시 영등포구 대방천로 167,,21,20240520,20240930,126.909833,37.499376,192026.8493,544438.7089
1156000167,2024,구립신길6동경로당,서울특별시 영등포구 대방천로 193,,30,20240520,20240930,126.912418,37.499168,192255.436,544415.3856
1156000219,2024,마을서랍 마을도서관,서울특별시 영등포구 여의대방로43길 10,,18,20240520,20240930,126.921426,37.506445,193052.6204,545222.2803
1156000172,2024,신길7동 주민센터,서울특별시 영등포구 여의대방로43길 10,,30,20240520,20240930,126.921419,37.506324,193052.0257,545208.9068
1156000176,2024,래미안에스티움2경로당,서울특별시 영등포구 신풍로 77,,29,20240520,20240930,126.913003,37.5008,192307.2887,544596.4241
1156000177,2024,구립신길7동경로당,서울특별시 영등포구 여의대방로43길 10,,54,20240520,20240930,126.921408,37.506425,193051.0625,545220.1506
1156000220,2024,대림1동 작은도서관,서울특별시 영등포구 디지털로 441,,30,20240520,20240930,126.905908,37.495456,191679.3325,544003.9018
1156000178,2024,대림1동 주민센터,서울특별시 영등포구 디지털로 441,,30,20240520,20240930,126.905935,37.495477,191681.7579,544006.2856
1156000180,2024,구립대림1동경로당,서울특별시 영등포구 디지털로 441,,30,20240520,20240930,126.905935,37.495477,191681.7579,544006.2856
1156000183,2024,구립영인경로당,서울특별시 영등포구 도림로58길 11,,65,20240520,20240930,126.902725,37.496064,191397.9889,544071.7013
1156000260,2024,서울디지털동행플라자 서남센터,서울특별시 영등포구 디지털로37나길 21,,80,20240603,20240930,126.899624,37.491532,191123.2219,543569.0296
1156000221,2024,대림2동 작은도서관,서울특별시 영등포구 대림로23길 25,,16,20240520,20240930,126.8981,37.4926,190988.5569,543687.6974
1156000185,2024,대림2동 주민센터,서울특별시 영등포구 대림로23길 25,,24,20240520,20240930,126.898229,37.492712,190999.9783,543700.1155
1156000186,2024,구립다사랑경로당,서울특별시 영등포구 대림로23가길 5,,30,20240520,20240930,126.899211,37.492811,191086.8323,543711.0098
1156000187,2024,구립큰숲경로당,서울특별시 영등포구 대림로7길 11-13 ,,80,20240520,20240930,126.904388,37.488763,191544.2252,543261.2572
1156000189,2024,구립행복경로당,서울특별시 영등포구 디지털로53길 6-10 ,,61,20240520,20240930,126.901501,37.491232,191289.1185,543535.5693
1156000191,2024,구립대동경로당,서울특별시 영등포구 대림로21길 5,,36,20240520,20240930,126.900801,37.492719,191227.4582,543700.694
1156000192,2024,대림3동 주민센터,서울특별시 영등포구 대림로 197,,20,20240520,20240930,126.89804,37.49828,190983.9337,544318.1092
1156000193,2024,구립원지경로당,서울특별시 영등포구 도림로47길 28,,50,20240520,20240930,126.8996,37.4977,191121.8119,544253.5885
1156000194,2024,구립대림3동경로당,서울특별시 영등포구 대림로41길 12,,50,20240520,20240930,126.895832,37.501054,190789.0353,544626.1901
1156000195,2024,구립동심경로당,서울특별시 영등포구 대림로35길 7,,60,20240520,20240930,126.897339,37.498751,190922.0029,544370.396
1156000196,2024,구립신우경로당,서울특별시 영등포구 가마산로47길 13,,35,20240520,20240930,126.8991,37.5036,191078.2998,544908.4596
1156000202,2024,구립두암경로당,서울특별시 영등포구 도림로31길 14-1 ,,68,20240520,20240930,126.895541,37.493661,190762.3402,543805.7248
1159000192,2024,동작자원봉사센터,서울특별시 동작구 만양로3길 14,,20,20240807,20240930,126.946912,37.508068,195306.1308,545400.936
1159000186,2024,한신휴플러스아파트 101동 경로당,서울특별시 동작구 매봉로 99,,33,20240520,20240930,126.949975,37.509008,195577.075,545505.0822
11590002,2024,노량진1동주민센터,서울특별시 동작구 장승배기로28길 30,,50,20240520,20240930,126.942026,37.512299,194874.4994,545870.7446
