순번,쉼터명칭,도로명주소,지번주소,시설유형,이용가능인원,운영시작일,개방시간,종료시간,경도,위도,연도,X좌표,Y좌표,자치구
621,매바위경로당,서울특별시 은평구 응암로22길 13-9 ,서울특별시 은평구 응암동 419-135,노인시설,30,2023-11-15,09:00:00,18:00:00,126.919801,37.594388,2024,192917.3034,554983.0759,은평구
622,응암제2동주민센터,서울특별시 은평구 백련산로 100,서울특별시 은평구 응암동 229-13,주민센터,20,2023-11-15,09:00:00,21:00:00,126.9231421,37.5944082,2024,193212.3713,554985.0712,은평구
623,덕인경로당,서울특별시 은평구 응암로21가길 5-1 ,서울특별시 은평구 응암동 126-46,노인시설,40,2023-11-15,09:00:00,18:00:00,126.9168,37.5946,2024,192652.2938,555006.8361,은평구
624,불광천 어르심쉼터(은평춘당),서울특별시 은평구 증산로 414,서울특별시 은평구 응암동 610-2,기타,40,2023-11-15,10:00:00,18:00:00,126.9144044,37.5930726,2024,192440.5748,554837.5019,은평구
625,응암제3동주민센터,서울특별시 은평구 불광천길 410-17 ,서울특별시 은평구 응암동 583-22,주민센터,30,2023-11-15,09:00:00,21:00:00,126.915622,37.5922683,2024,192548.0276,554748.1363,은평구
626,충암경로당,서울특별시 은평구 가좌로7길 9-15 ,서울특별시 은평구 응암동 746-15,노인시설,30,2023-11-15,09:00:00,18:00:00,126.920731,37.586128,2024,192998.6617,554066.239,은평구
627,응암노인복지관,서울특별시 은평구 응암로21가길 5-1 ,서울특별시 은평구 응암동 126-46,복지회관,15,2023-11-15,09:00:00,18:00:00,126.9167876,37.5945862,2024,192651.1973,555005.3054,은평구
628,어울누리 해솔경로당,서울특별시 은평구 역말로 83-11 ,서울특별시 은평구 역촌동 13-29,노인시설,30,2023-11-15,09:00:00,18:00:00,126.9186147,37.6071703,2024,192813.766,556401.8603,은평구
629,역마을경로당,서울특별시 은평구 진흥로1길 32-23 ,서울특별시 은평구 역촌동 30-26,노인시설,30,2023-11-15,09:00:00,18:00:00,126.91995,37.603419,2024,192931.3166,555985.4057,은평구
630,어울누리 안심마을경로당,서울특별시 은평구 진흥로7나길 12-5 ,서울특별시 은평구 역촌동 25-103,노인시설,30,2023-11-15,09:00:00,18:00:00,126.919246,37.605318,2024,192869.3323,556196.2271,은평구
631,역촌동주민센터,서울특별시 은평구 연서로 59,서울특별시 은평구 역촌동 62-26,주민센터,20,2023-11-15,09:00:00,21:00:00,126.9152382,37.6043975,2024,192515.3468,556094.3736,은평구
632,역촌노인복지관,서울특별시 은평구 연서로3나길 11-30,서울특별시 은평구 역촌동 67-9,복지회관,25,2023-11-15,09:00:00,18:00:00,126.911333,37.603314,2024,192170.3955,555974.4355,은평구
